model_name,paper_title,bibtex_key,publication_year,publication_type,venue,authors,first_author,doi,doi_url,paper_url,github_repositories,github_repository_roles,other_code_repositories,categories,secondary_tags,summary,citation_count_openalex_2026_08_06,word_cloud_weight,task_context_transfer_status,task_context_transfer_evidence,task_unseen_genetic_status,task_unseen_genetic_evidence,task_unseen_chemical_status,task_unseen_chemical_evidence,task_genetic_combinations_status,task_genetic_combinations_evidence,task_genetic_combinations_datasets,task_chemical_combinations_status,task_chemical_combinations_evidence,task_chemical_combinations_datasets,scperturbench_context_transfer_evaluated,scperturbench_unseen_genetic_evaluated,scperturbench_unseen_chemical_evaluated,scperturbench_genetic_combinations_evaluated,scperturbench_chemical_combinations_evaluated,local_pdf_path,local_markdown_path,local_text_path,bibliography_source,paper_yaml_path,inventory_selection_rule,inventory_source_notebook
DeSCOPE,Decoding Single-Cell Omics of Perturbation Responses Using DeSCOPE,descope,2026,misc,bioRxiv,"Wu, Pengpeng and Wei, Hailin and Li, Yazi and Zheng, Xinwei and Zhou, Caibin and Hu, Xihao and Wang, Chenfei","Wu, Pengpeng",10.64898/2026.04.13.718147,https://doi.org/10.64898/2026.04.13.718147,https://doi.org/10.64898/2026.04.13.718147,https://github.com/ArcInstitute/cell-eval; https://github.com/wanglabtongii/DeSCOPE; https://github.com/wanglabtongji/DeSCOPE,https://github.com/ArcInstitute/cell-eval (cell-eval-v0.6.6); https://github.com/wanglabtongii/DeSCOPE (benchmark); https://github.com/wanglabtongji/DeSCOPE (benchmark|primary),,model_paper,perturbation_response_modeling; single_cell_rna_seq,,0,1.0,explicit_paper_claim,Paper reports an out-of-distribution unseen-cell-type evaluation.,explicit_paper_claim,Paper explicitly evaluates an out-of-distribution unseen-gene setting.,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,,not_established,Available local metadata does not establish this capability.,,False,False,False,False,False,metrics-db/pdfs/descope.pdf,metrics-db/extracted_markdown/descope.md,,metrics-db/bib/papers.bib,metrics-db/data/papers/descope.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
Doloris,Doloris: Dual Conditional Diffusion Implicit Bridges with Sparsity Masking Strategy for Unpaired Single-Cell Perturbation Estimation,doloris,2026,inproceedings,The Fourteenth International Conference on Learning Representations,"Chi, Changxi and Xia, Jun and Huang, Yufei and Ouyang, Zhuoli and Tan, Cheng and Liu, Yunfan and Zhou, Jingbo and Yu, Chang and Yuan, Liangyu and Li, Siyuan and Zang, Zelin and Li, Stan Z.","Chi, Changxi",,,https://openreview.net/forum?id=rvpDHfoTd2,https://github.com/ChangxiChi/Doloris,https://github.com/ChangxiChi/Doloris (reproducibility),,model_paper,perturbation_response_modeling; single_cell_rna_seq,,0,1.0,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,,not_established,Available local metadata does not establish this capability.,,False,False,False,False,False,metrics-db/pdfs/doloris.pdf,metrics-db/extracted_markdown/doloris.md,metrics-db/extracted_text/doloris.txt,metrics-db/bib/papers.bib,metrics-db/data/papers/doloris.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
eVAE,Elucidating the Design Space of Generative Models for Single-Cell Perturbation Prediction,eVAE,2026,misc,Bioinformatics,"Bhattacharya, Sanjukta and Gensbigler, Christian and Karim, Shaamil and Lees, Jonathan","Bhattacharya, Sanjukta",10.64898/2026.06.15.732063,https://doi.org/10.64898/2026.06.15.732063,https://doi.org/10.64898/2026.06.15.732063,,,,model_paper,perturbation_response_modeling; single_cell_rna_seq,,0,1.0,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,,not_established,Available local metadata does not establish this capability.,,False,False,False,False,False,,,,metrics-db/bib/papers.bib,metrics-db/data/papers/eVAE.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
GEARS,Predicting Transcriptional Outcomes of Novel Multigene Perturbations with GEARS,gears,2024,article,Nature Biotechnology,"Roohani, Yusuf and Huang, Kexin and Leskovec, Jure","Roohani, Yusuf",10.1038/s41587-023-01905-6,https://doi.org/10.1038/s41587-023-01905-6,https://doi.org/10.1038/s41587-023-01905-6,https://github.com/snap-stanford/GEARS; https://github.com/yhr91/GEARS_misc,https://github.com/snap-stanford/GEARS (reproducibility); https://github.com/yhr91/GEARS_misc (reproducibility),,model_paper,perturbation_response_modeling; single_cell_rna_seq,,320,6.77144112,not_established,Available local metadata does not establish this capability.,benchmark_evaluated,Evaluated on unseen genetic perturbations in scPerturBench.,not_established,Available local metadata does not establish this capability.,benchmark_evaluated,Paper's primary task is prediction of novel multi-gene perturbations. Also evaluated across four genetic-combination datasets in scPerturBench.,Norman2019; Wessels2023; Schmidt; Replogle2020,not_established,Available local metadata does not establish this capability.,,False,True,False,True,False,metrics-db/pdfs/gears.pdf,metrics-db/extracted_markdown/gears.md,metrics-db/extracted_text/gears.txt,metrics-db/bib/papers.bib,metrics-db/data/papers/gears.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
GenePert,GenePert: Leveraging GenePT Embeddings for Gene Perturbation Prediction,genePert,2024,article,bioRxiv,"Chen, Yiqun and Zou, James","Chen, Yiqun",10.1101/2024.10.27.620513,https://doi.org/10.1101/2024.10.27.620513,https://doi.org/10.1101/2024.10.27.620513,https://github.com/zou-group/GenePert,https://github.com/zou-group/GenePert (benchmark),,model_paper,perturbation_response_modeling; single_cell_rna_seq,,15,3.77258872,not_established,Available local metadata does not establish this capability.,benchmark_evaluated,Evaluated on unseen genetic perturbations in scPerturBench.,not_established,Available local metadata does not establish this capability.,benchmark_evaluated,"Paper applies GenePert to two-gene perturbations, including combinations with unseen targets. Also evaluated across four genetic-combination datasets in scPerturBench.",Norman2019; Wessels2023; Schmidt; Replogle2020,not_established,Available local metadata does not establish this capability.,,False,True,False,True,False,metrics-db/pdfs/genePert.pdf,metrics-db/extracted_markdown/genePert.md,metrics-db/extracted_text/genePert.txt,metrics-db/bib/papers.bib,metrics-db/data/papers/genePert.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
GPerturb,GPerturb: Gaussian Process Modelling of Single-Cell Perturbation Data,gperturb,2025,article,Nature Communications,"Xing, Hanwen and Yau, Christopher","Xing, Hanwen",10.1038/s41467-025-61165-7,https://doi.org/10.1038/s41467-025-61165-7,https://doi.org/10.1038/s41467-025-61165-7,https://github.com/hwxing3259/GPerturb,https://github.com/hwxing3259/GPerturb (official),,model_paper,perturbation_response_modeling; single_cell_rna_seq,,6,2.94591015,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,,not_established,Available local metadata does not establish this capability.,,False,False,False,False,False,metrics-db/pdfs/gperturb.pdf,metrics-db/extracted_markdown/gperturb.md,metrics-db/extracted_text/gperturb.txt,metrics-db/bib/papers.bib,metrics-db/data/papers/gperturb.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
GRAPE,GRAPE: Heterogeneous Graph Representation Learning for Genetic Perturbation with Coding and Non-Coding Biotype,grape,2025,article,arXiv,"Chi, Changxi and Xia, Jun and Zhou, Jingbo and Cheng, Jiabei and Yu, Chang and Li, Stan Z.","Chi, Changxi",10.48550/arXiv.2505.03853,https://doi.org/10.48550/arXiv.2505.03853,https://doi.org/10.48550/arXiv.2505.03853,,,https://anonymous.4open.science/r/GRAPE-EB39,model_paper,perturbation_response_modeling; single_cell_rna_seq,,0,1.0,not_established,Available local metadata does not establish this capability.,scope_only,"Paper addresses genetic perturbations, but local metadata does not establish held-out-perturbation evaluation.",not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,,not_established,Available local metadata does not establish this capability.,,False,False,False,False,False,metrics-db/pdfs/grape.pdf,metrics-db/extracted_markdown/grape.md,metrics-db/extracted_text/grape.txt,metrics-db/bib/papers.bib,metrics-db/data/papers/grape.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
graphVCI,Predicting Cellular Responses with Variational Causal Inference and Refined Relational Information,graphVCI,2022,article,arXiv,"Wu, Yulun and Barton, Robert A and Wang, Zichen and Ioannidis, Vassilis N and Donno, Carlo De and Price, Layne C and Voloch, Luis F and Karypis, George","Wu, Yulun",10.48550/arxiv.2210.00116,https://doi.org/10.48550/arxiv.2210.00116,https://doi.org/10.48550/arxiv.2210.00116,https://github.com/yulun-rayn/graphVCI,https://github.com/yulun-rayn/graphVCI (official),,model_paper,perturbation_response_modeling; single_cell_rna_seq,,6,2.94591015,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,,not_established,Available local metadata does not establish this capability.,,False,False,False,False,False,metrics-db/pdfs/graphVCI.pdf,metrics-db/extracted_markdown/graphVCI.md,metrics-db/extracted_text/graphVCI.txt,metrics-db/bib/papers.bib,metrics-db/data/papers/graphVCI.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
HyperMap,HyperMap: An Efficient Framework for Transferring Perturbation Responses Across Diverse Biological Contexts,hyperMap,2026,misc,bioRxiv,"Dhaka, Bhavya and Gao, Jiahao and Ideker, Trey","Dhaka, Bhavya",10.64898/2026.04.23.720505,https://doi.org/10.64898/2026.04.23.720505,https://doi.org/10.64898/2026.04.23.720505,https://github.com/bhavya1929/HyperMap,https://github.com/bhavya1929/HyperMap (reproducibility),,model_paper,perturbation_response_modeling; single_cell_rna_seq,,0,1.0,explicit_paper_claim,Title explicitly describes transfer of perturbation responses across biological contexts.,not_established,Available local metadata does not establish this capability.,scope_only,"Paper addresses chemical perturbations, but local metadata does not establish held-out-perturbation evaluation.",not_established,Available local metadata does not establish this capability.,,not_established,Available local metadata does not establish this capability.,,False,False,False,False,False,metrics-db/pdfs/hyperMap.pdf,metrics-db/extracted_markdown/hyperMap.md,,metrics-db/bib/papers.bib,metrics-db/data/papers/hyperMap.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
LangPert,LangPert: LLM-Driven Contextual Synthesis for Unseen Perturbation Prediction,langPert,2025,inproceedings,ICLR 2025 Workshop on Machine Learning for Genomics Explorations,"Märtens, Kaspar and Martell, Marc Boubnovski and Prada-Medina, Cesar A. and Donovan-Maiye, Rory","Märtens, Kaspar",,,https://openreview.net/forum?id=Tmx4o3Jg55,,,,model_paper,perturbation_response_modeling; single_cell_rna_seq,,0,1.0,not_established,Available local metadata does not establish this capability.,explicit_paper_claim,Paper explicitly targets unseen single-gene perturbation prediction.,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,,not_established,Available local metadata does not establish this capability.,,False,False,False,False,False,metrics-db/pdfs/langPert.pdf,metrics-db/extracted_markdown/langPert.md,metrics-db/extracted_text/langPert.txt,metrics-db/bib/papers.bib,metrics-db/data/papers/langPert.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
LCD,Latent Causal Diffusions for Single-Cell Perturbation Modeling,lcd,2026,article,arXiv,"Lorch, Lars and Zhang, Jiaqi and Bunne, Charlotte and Krause, Andreas and Schölkopf, Bernhard and Uhler, Caroline","Lorch, Lars",10.48550/arXiv.2601.15341,https://doi.org/10.48550/arXiv.2601.15341,https://doi.org/10.48550/arXiv.2601.15341,,,,model_paper,perturbation_response_modeling; single_cell_rna_seq,,0,1.0,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,,not_established,Available local metadata does not establish this capability.,,False,False,False,False,False,metrics-db/pdfs/lcd.pdf,metrics-db/extracted_markdown/lcd.md,metrics-db/extracted_text/lcd.txt,metrics-db/bib/papers.bib,metrics-db/data/papers/lcd.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
Lingshu-Cell,Lingshu-Cell: A Generative Cellular World Model for Transcriptome Modeling toward Virtual Cells,lingshuCell,2026,misc,arXiv,"Zhang, Han and Yuan, Guo-Hua and Yuan, Chaohao and Xu, Tingyang and Bian, Tian and Cheng, Hong and Huang, Wenbing and Zhao, Deli and Rong, Yu","Zhang, Han",10.48550/arXiv.2603.25240,https://doi.org/10.48550/arXiv.2603.25240,https://doi.org/10.48550/arXiv.2603.25240,,,,model_paper,perturbation_response_modeling; single_cell_rna_seq,,0,1.0,explicit_paper_claim,Paper claims prediction for novel combinations of cell/donor identity and perturbation.,scope_only,"Paper addresses genetic perturbations, but local metadata does not establish held-out-perturbation evaluation.",not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,,not_established,Available local metadata does not establish this capability.,,False,False,False,False,False,,metrics-db/extracted_markdown/lingshuCell.md,,metrics-db/bib/papers.bib,metrics-db/data/papers/lingshuCell.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
LPM,In-Silico Biological Discovery with Large Perturbation Models,lpm,2025,article,arXiv,"Miladinovic, Djordje and Höppe, Tobias and Chevalley, Mathieu and Georgiou, Andreas and Stuart, Lachlan and Mehrjou, Arash and Bantscheff, Marcus and Schölkopf, Bernhard and Schwab, Patrick","Miladinovic, Djordje",10.48550/arXiv.2503.23535,https://doi.org/10.48550/arXiv.2503.23535,https://doi.org/10.48550/arXiv.2503.23535,,,,model_paper,perturbation_response_modeling; single_cell_rna_seq,,1,1.69314718,not_established,Available local metadata does not establish this capability.,scope_only,"Paper addresses genetic perturbations, but local metadata does not establish held-out-perturbation evaluation.",not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,,not_established,Available local metadata does not establish this capability.,,False,False,False,False,False,metrics-db/pdfs/lpm.pdf,metrics-db/extracted_markdown/lpm.md,metrics-db/extracted_text/lpm.txt,metrics-db/bib/papers.bib,metrics-db/data/papers/lpm.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
MapPFN,MapPFN: Learning Causal Perturbation Maps in Context,mapPFN,2026,article,arXiv,"Sextro, Marvin and K\los, Weronika and Dernbach, Gabriel","Sextro, Marvin",10.48550/arXiv.2601.21092,https://doi.org/10.48550/arXiv.2601.21092,https://doi.org/10.48550/arXiv.2601.21092,https://github.com/marvinsxtr/MapPFN,https://github.com/marvinsxtr/MapPFN (official),,model_paper,perturbation_response_modeling; single_cell_rna_seq,,0,1.0,not_established,Available local metadata does not establish this capability.,scope_only,"Paper addresses genetic perturbations, but local metadata does not establish held-out-perturbation evaluation.",not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,,not_established,Available local metadata does not establish this capability.,,False,False,False,False,False,metrics-db/pdfs/mapPFN.pdf,metrics-db/extracted_markdown/mapPFN.md,metrics-db/extracted_text/mapPFN.txt,metrics-db/bib/papers.bib,metrics-db/data/papers/mapPFN.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
MichiGAN,MichiGAN: Sampling from Disentangled Representations of Single-Cell Data Using Generative Adversarial Networks,michiGAN,2021,article,Genome Biology,"Yu, Hengshi and Welch, Joshua D.","Yu, Hengshi",10.1186/s13059-021-02373-4,https://doi.org/10.1186/s13059-021-02373-4,https://doi.org/10.1186/s13059-021-02373-4,https://github.com/welch-lab/MichiGAN,https://github.com/welch-lab/MichiGAN (reproducibility),,model_paper,perturbation_response_modeling; single_cell_rna_seq,,37,4.63758616,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,,not_established,Available local metadata does not establish this capability.,,False,False,False,False,False,metrics-db/pdfs/michiGAN.pdf,metrics-db/extracted_markdown/michiGAN.md,metrics-db/extracted_text/michiGAN.txt,metrics-db/bib/papers.bib,metrics-db/data/papers/michiGAN.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
MLP+Hist,Modeling Gene Expression Distributional Shifts for Unseen Genetic Perturbations,ramakrishnanModelingGeneExpression2025,2025,article,arXiv,"Ramakrishnan, Kalyan and Hedley, Jonathan G. and Qu, Sisi and Dokania, Puneet K. and Torr, Philip H. S. and Prada-Medina, Cesar A. and Fauqueur, Julien and Martens, Kaspar","Ramakrishnan, Kalyan",10.48550/arXiv.2507.02980,https://doi.org/10.48550/arXiv.2507.02980,https://doi.org/10.48550/arXiv.2507.02980,,,,model_paper,perturbation_response_modeling; single_cell_rna_seq,,0,1.0,not_established,Available local metadata does not establish this capability.,explicit_paper_claim,Title explicitly states unseen genetic perturbation prediction.,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,,not_established,Available local metadata does not establish this capability.,,False,False,False,False,False,metrics-db/pdfs/ramakrishnanModelingGeneExpression2025.pdf,metrics-db/extracted_markdown/ramakrishnanModelingGeneExpression2025.md,metrics-db/extracted_text/ramakrishnanModelingGeneExpression2025.txt,metrics-db/bib/papers.bib; all_papers_updated.bib fallback fields,metrics-db/data/papers/ramakrishnanModelingGeneExpression2025.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
MORPH,MORPH Predicts the Single-Cell Outcome of Genetic Perturbations Across Conditions and Data Modalities,morph,2025,article,bioRxiv,"He, Chujun and Zhang, Jiaqi and Dahleh, Munther and Uhler, Caroline","He, Chujun",10.1101/2025.06.27.661992,https://doi.org/10.1101/2025.06.27.661992,https://doi.org/10.1101/2025.06.27.661992,https://github.com/uhlerlab/MORPH,https://github.com/uhlerlab/MORPH (reproducibility),,model_paper,perturbation_response_modeling; single_cell_rna_seq; cell_imaging,,2,2.09861229,explicit_paper_claim,Title explicitly describes genetic-perturbation prediction across conditions.,scope_only,"Paper addresses genetic perturbations, but local metadata does not establish held-out-perturbation evaluation.",not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,,not_established,Available local metadata does not establish this capability.,,False,False,False,False,False,metrics-db/pdfs/morph.pdf,metrics-db/extracted_markdown/morph.md,metrics-db/extracted_text/morph.txt,metrics-db/bib/papers.bib,metrics-db/data/papers/morph.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
pertTF,pertTF: Context-Aware AI Modeling for Genome-Scale and Cross-System Perturbation Prediction,pertTF,2026,article,bioRxiv,"Su, Yangqi and Liu, Dingyu and Menon, Vipin and Song, Bicna and Boccara, Samuel and Zhang, Nan and Zhao, Huan and Zhao, Jiahui Hazel and others and Swargam, Bharath Kumar and Ament, Seth A. and Diao, Yarui and Zhang, Hanrui and Chao, Lumen and Hon, Gary and Huangfu, Danwei and Li, Wei","Su, Yangqi",10.64898/2026.03.12.711379,https://doi.org/10.64898/2026.03.12.711379,https://doi.org/10.64898/2026.03.12.711379,https://github.com/davidliwei/pertTF,https://github.com/davidliwei/pertTF (official),,model_paper,perturbation_response_modeling; single_cell_rna_seq,,1,1.69314718,explicit_paper_claim,Title explicitly describes cross-system perturbation prediction.,scope_only,"Paper addresses genetic perturbations, but local metadata does not establish held-out-perturbation evaluation.",not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,,not_established,Available local metadata does not establish this capability.,,False,False,False,False,False,metrics-db/pdfs/pertTF.pdf,metrics-db/extracted_markdown/pertTF.md,metrics-db/extracted_text/pertTF.txt,metrics-db/bib/papers.bib,metrics-db/data/papers/pertTF.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
PerturbDiff,PerturbDiff: Functional Diffusion for Single-Cell Perturbation Modeling,perturbDiff,2026,misc,arXiv,"Yuan, Xinyu and Liu, Xixian and Zhang, Ya Shi and Zhang, Zuobai and Guo, Hongyu and Tang, Jian","Yuan, Xinyu",10.48550/arXiv.2602.19685,https://doi.org/10.48550/arXiv.2602.19685,https://doi.org/10.48550/arXiv.2602.19685,https://github.com/DeepGraphLearning/PerturbDiff,https://github.com/DeepGraphLearning/PerturbDiff (mentioned_in_paper),,model_paper,perturbation_response_modeling; single_cell_rna_seq,,0,1.0,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,,not_established,Available local metadata does not establish this capability.,,False,False,False,False,False,metrics-db/pdfs/perturbDiff.pdf,metrics-db/extracted_markdown/perturbDiff.md,,metrics-db/bib/papers.bib,metrics-db/data/papers/perturbDiff.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
PerturbedVAE,What Makes a Representation Good for Single-Cell Perturbation Prediction?,perturbVAE,2026,misc,arXiv,"Jiang, Wenkang and Liu, Yuhang and Cai, Yichao and Gao, Erdun and Dong, Jiayi and Abbasnejad, Ehsan and Yao, Lina and Shi, Javen Qinfeng","Jiang, Wenkang",10.48550/arXiv.2605.19343,https://doi.org/10.48550/arXiv.2605.19343,https://doi.org/10.48550/arXiv.2605.19343,,,,model_paper,perturbation_response_modeling; single_cell_rna_seq,,0,1.0,not_established,Available local metadata does not establish this capability.,scope_only,"Paper addresses genetic perturbations, but local metadata does not establish held-out-perturbation evaluation.",not_established,Available local metadata does not establish this capability.,directly_evaluated,Paper trains on single-gene interventions and evaluates entirely held-out double-gene combinations.,Norman2019,not_established,Available local metadata does not establish this capability.,,False,False,False,False,False,metrics-db/pdfs/perturbVAE.pdf,metrics-db/extracted_markdown/perturbVAE.md,,metrics-db/bib/papers.bib,metrics-db/data/papers/perturbVAE.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
PerturbGen,Predicting How Perturbations Reshape Cellular Trajectories with PerturbGen,perturbGen,2026,misc,bioRxiv,"Ly, Kevin Chi Hao and Feriz, Adib Miraki and Isobe, Tomoya and Vahidi, Amirhossein and Vaghari, Delshad and Rostron, Anthony and Londono, Mariana Quiroga and Mende, Nicole and Vijayabaskar, M. S. and Moullet, Marie and Foster, April Rose and Graves, Emily and Torabi, Fereshteh and Admane, Chloe and Horsfall, David and Basurto-Lozada, Daniela and Stephenson, Emily and Botting, Rachel A. and Iskander, Deena and Webb, Simone and Goh, Issac and Jafree, Daniyal and Sturgess, Katherine H. M. and Scott, Jonathan and Sendama, Wezi and Magnani, Laura and Hannah, Rebecca and Asadollahzadeh, Hesam and Holland, Ash and Prete, Martin and Simpson, John and Roy, Anindita and Roberts, Irene and Jardine, Laura and Laurenti, Elisa and Trynka, Gosia and Wilson, Nicola K. and Haniffa, Muzlifah and Gottgens, Berthold and Lotfollahi, Mo","Ly, Kevin Chi Hao",10.64898/2026.03.04.709254,https://doi.org/10.64898/2026.03.04.709254,https://doi.org/10.64898/2026.03.04.709254,https://github.com/Lotfollahi-lab/Perturbgen,https://github.com/Lotfollahi-lab/Perturbgen (primary),,model_paper; dataset_paper,perturbation_response_modeling; single_cell_rna_seq,,0,1.0,not_established,Available local metadata does not establish this capability.,scope_only,"Paper addresses genetic perturbations, but local metadata does not establish held-out-perturbation evaluation.",not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,,not_established,Available local metadata does not establish this capability.,,False,False,False,False,False,,metrics-db/extracted_markdown/perturbGen.md,,metrics-db/bib/papers.bib,metrics-db/data/papers/perturbGen.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
PerturbGraph,Predicting Unseen Gene Perturbation Response Using Graph Neural Networks with Biological Priors,perturbGraph,2026,article,bioRxiv,"Dip, Sajib Acharjee and Zhang, Liqing","Dip, Sajib Acharjee",10.64898/2026.03.23.713780,https://doi.org/10.64898/2026.03.23.713780,https://doi.org/10.64898/2026.03.23.713780,https://github.com/Sajib-006/PerturbGraph,https://github.com/Sajib-006/PerturbGraph (benchmark|primary),,model_paper,perturbation_response_modeling; single_cell_rna_seq,,0,1.0,not_established,Available local metadata does not establish this capability.,explicit_paper_claim,Title explicitly states unseen gene-perturbation prediction.,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,,not_established,Available local metadata does not establish this capability.,,False,False,False,False,False,metrics-db/pdfs/perturbGraph.pdf,metrics-db/extracted_markdown/perturbGraph.md,metrics-db/extracted_text/perturbGraph.txt,metrics-db/bib/papers.bib,metrics-db/data/papers/perturbGraph.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
PerturbNet,PerturbNet Predicts Single-Cell Responses to Unseen Chemical and Genetic Perturbations,perturbNet,2025,article,Molecular Systems Biology,"Yu, Hengshi and Qian, Weizhou and Song, Yuxuan and Welch, Joshua D","Yu, Hengshi",10.1038/s44320-025-00131-3,https://doi.org/10.1038/s44320-025-00131-3,https://doi.org/10.1038/s44320-025-00131-3,https://github.com/aspuru-guzik-group/chemical_vae; https://github.com/welch-lab/PerturbNet; https://github.com/welchlab/PerturbNet,https://github.com/aspuru-guzik-group/chemical_vae (official); https://github.com/welch-lab/PerturbNet (reproducibility); https://github.com/welchlab/PerturbNet (official),,model_paper,perturbation_response_modeling; single_cell_rna_seq,,19,3.99573227,not_established,Available local metadata does not establish this capability.,explicit_paper_claim,Title explicitly states unseen genetic and chemical perturbation prediction.,explicit_paper_claim,Title explicitly states unseen chemical and genetic perturbation prediction.,directly_evaluated,Paper evaluates two-gene perturbations with one or both target genes unobserved.,Norman2019,not_established,Available local metadata does not establish this capability.,,False,False,False,False,False,metrics-db/pdfs/perturbNet.pdf,metrics-db/extracted_markdown/perturbNet.md,metrics-db/extracted_text/perturbNet.txt,metrics-db/bib/papers.bib,metrics-db/data/papers/perturbNet.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
